ricf_oid_2013	ba_rdt	ba_cn	ba_en	ba_rid	ba_org	ba_msn	ba_srv	ba_ntr	ba_rng	ba_reg	ba_sup	ba_fdt	ba_fnd	ba_add	ba_zip	ba_prv	ba_ct	ba_gis	ba_wb	ba_chr	ba_sec	ba_cpn	ba_cpp	ba_phn	ba_fax	ba_eml	ba_gvm	ba_pgv	ba_nfe	ba_nv	ba_evl	ba_sf	ba_tax	ba_src	ba_bn	ba_sn	ba_mn	ba_brn	ba_rn	ba_pbl	ba_pm	ba_po	ba_ai	ba_ap	ba_hr	ba_nc	ba_fr	ba_tr	ba_rcp	ba_mt	ba_trn	ricf_oid	ba_uscc
1296	2013	山东省石油大学教育发展基金会	Shandong Oil University Education Develop	鲁基证字第000002号	77101512-0	利用社会力量支持石油大学教育事业发展	资助贫困学生；奖励优秀教师、学生；资助教师深造及参加学术交流活动；资助有利于学校发展的公益项目。      	非公募	地方	省级民政部门	山东省教育厅	2004-12-02 00:00:00	210万元		266555	Shandong Sheng	Qingdao Shi	[35.944096, 120.168915]	http://www.upc.org.cn/fund	查明	王效美	孙静	科员	0546-86983133	0546-86983131	sunjing@upc.edu.cn	0.0	0.0	5.0	2.0	未参评	0.0	公益性捐赠税前扣除资格																			1296	53370000MJD675596Q
1297	2013	山东省红十字博爱基金会	Shandong Red Cross Foundation	鲁基证字第000033号	66572479-1	遵守国家法律、法令、法规和政策，弘扬中华民族扶贫救伤的传统美德，发扬人道、博爱、奉献的红十字精神，本着一切来源于民、一切为民的服务宗旨，为促进社会精神文明，构建和谐社会做	参与和开展具有红十字特色的公益活动，有计划的在教育、卫生、文化、体育等领域兴办公益事业，进行适合自身特点的社会救助。  	非公募	地方	省级民政部门	山东省红十字会	2007-08-08 00:00:00	200万元		250001	Shandong Sheng	Jinan Shi	[36.677063, 117.05447]	http://www.srcf.org.cn/	李文斌	周宏建	宗燕燕	财务部会计	0531-67883999	0531-86032055	srcf999@126.com																										1297	
1298	2013	山东省老龄事业发展基金会	Shandong Ageing Development Foundation	鲁基证字第000018号	50284010-6	遵守国家法律、法规、政策；弘扬中华民族尊老、敬老传统美德；组织社会力量，参与、协助政府推进全省老年社会福利事业发展。	依法筹集、管理和使用老年福利基金；广泛动员社会力量，促进老龄事业发展。	公募	地方	省级民政部门	山东省老龄工作委员会办公室	1988-05-10 00:00:00	400万元		250001	Shandong Sheng	Jinan Shi	[36.643982, 116.99917]	http://www.sdlljjh.org	陈延明	高慧	李文武	秘书处副处长	0531-86390660	0531-82053306	LWW167168@163.com	0.0	1.0	11.0	0.0		0.0	公益性捐赠税前扣除资格																			1298	53370000MJD675107U
1299	2013	山东省胜利油田地学开拓基金会	The Foundation of Shandong Shengli Oilfie	鲁基证字第000006号	77316132-4	创新石油地质理论与技术，培养青年地学人才	评选、表彰“胜利油田刘兴材地学开拓奖”和“山东地学科技创新奖”，开展科技开发、交流和咨询服务	非公募	地方	省级民政部门	中国石化集团胜利石油管理局	2005-03-24 00:00:00	220万元		257015	Shandong Sheng	Dongying Shi	[37.458904, 118.491486]		潘元林	杨东福	安明泉	副秘书长	0546-8715185	0546-8712816	slktjjh@sina.com	0.0	0.0	7.0	48.0	未参评	0.0	无																			1299	53370000MJD675414L
1300	2013	山东省胜利石油工程技术创新基金会	Shandong Shengli Petroleum Technologies I	鲁基证字第000072号	54957588	“创新发展石油工程理论和技术，培养造就石油工程青年人才”	设立科技奖励；组织学术交流；资助科技人员学习深造；出版论文集、开展科技咨询、培训、服务活动等。	非公募	地方	省级民政部门	中国石化集团胜利石油管理局	2012-09-18 00:00:00	230万元		257000	Shandong Sheng	Dongying Shi	[37.460484, 118.498665]		韩来聚	李作会	王萍	副秘书长	0546-8554188	0546-8554188	Wangping750207@126.com	0.0	0.0	3.0	0.0	   	0.0	无																			1300	53370000MJD675537M
1301	2013	山东省见义勇为基金会	Shandong Foundation for Justice and Coura	鲁基证字第000025号	75540031-X	取諸社会 建立基金 造福社会 资助先进英模	依法筹集管理基金，开展宣传表彰和资助等活动，发展见义勇为事业。	公募	地方	省级民政部门	山东省政法委	1994-02-01 00:00:00	800万元		250001	Shandong Sheng	Jinan Shi	[36.650967, 117.002945]	http://www.sdjyyw.org.cn 	孟庆丰	秦魁民	于乐乐	出纳	0531-86113606	0531-82022687	13583188307@139.com	0.0	1.0	8.0	0.0		0.0	公益性捐赠税前扣除资格																			1301	53370000MJD67549XA
1302	2013	山东省送温暖工程基金会	Shandong Sending Warmth Project Foundation	鲁基证字第000004号	502842419	协助、配合党和政府为困难职工服务，为困难职工排忧解难：稳定职工队伍，推进本省的深化改革和维护社会安定，为促进经济发展创造良好的社会环境。	对省内困难职工予以生活救助和再就业援助；在省内进行各种形式的资金筹集。	公募	地方	省级民政部门	山东省总工会	1996-05-07 00:00:00	1,200万元		250001	Shandong Sheng	Jinan Shi	[36.66274, 116.99637]		宫祥宏	罗鹏	吕雯	会计	0531-86057038	0531-86050398	swn23@tom.com	0.0	0.0	3.0	0.0	未参评	0.0	无																			1302	53370000MJD6758604
1303	2013	山东省青少年发展基金会	Shandong Youth Development Foundation	鲁基证字第000016号	50284023-7	依法筹集、管理和合理使用基金；支持、推动并组织实施符合本基金会宗旨的资助服务  项目及青少年公益活动	依法筹集、管理和合理使用基金；表彰、奖励有突出贡献的青少年优秀人才及为青少年事业作出突出贡献的团体和个人。	公募	地方	省级民政部门	共青团山东省委员会	1993-06-08 00:00:00	400万元		250002	Shandong Sheng	Jinan Shi	[36.646473, 116.99798]	http://www.sdydf.gov.cn/	张辉	王太丽	修铭	基金部	0531-82073842	0531-82073842	sdxwgc@126.com	2.0	0.0	8.0	0.0	   	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			1303	53370000MJD675246J
1304	2013	山东省青岛第二中学教育发展基金会	The second middle school of Qingdao Educa	鲁基证字第000066号	599261011	提高教育教学质量，加强创新人才培养，全面支持和推动学校建设和办学水平提升。	1、支持学校教学与科研；2、奖励有突出贡献的教师和学生；3、支持教师专业素养提升；4、支持学校创新人才素质培养和学生独特智能的发展；5、资助贫困学生完成学业。	非公募	地方	省级民政部门	山东省教育厅	2012-06-25 00:00:00	200万元		266100	Shandong Sheng	Qingdao Shi	[36.10863, 120.456955]		王宝琪	刘东海	韩潇	主管会计	0532-88907425	0532-88907098	haidamu1978@126.com	0.0	0.0	3.0	0.0	未参评	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			1304	53370000MJD6752890
1305	2013	山东省青年创业就业基金会	Shandong Foundation for Youth Entrepreneu	鲁基证字第000047号	699656969	弘扬艰苦创业的时代精神，服务青年自谋职业和自主创业，促进以创业带动就业；倡导社会各界积极履行社会责任，关心和支持青年就业成才，推动经济社会科学发展、和谐发展	开展政策指导、资金扶持、就业培训、信息服务等项目，搭建青年就业见习基地和创业孵化平台，促进青年就业创业；面向省内外开展符合本基金会使命的募捐活动；表彰、奖励有突出贡献的青	公募	地方	省级民政部门	共青团山东省委员会	2009-12-25 00:00:00	460万元		250002	Shandong Sheng	Jinan Shi	[36.646473, 116.99798]	http://www.icanfly.org.cn/	魏珂	范恩军	焦玉玲	基金部部长	0531-82070328	0531-82073577	icancy@126.com	1.0	0.0	0.0	0.0	   	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			1305	53370000MJD6781211
1306	2013	山东省鲁卫预防性病艾滋病基金会	Shandong Luwei Foundation for Prevention 	鲁基证字第000001号	767760064	团结和动员广大卫生工作者参与全社会性病、艾滋病预防防治工作，为保障人民身体健  康服务，遵守国家法律、法规，坚持民主办会。	宣传普及艾滋病综合防治知识；为社会提供资助服务；制作科普读物；确保基金保值增值。 	非公募	地方	省级民政部门	山东省卫生厅	2004-09-30 00:00:00	200万元		250014	Shandong Sheng	Jinan Shi	[36.651474, 116.99778]		张显莲	郭风英	许丽君	理事	0531-85107287	0531-85107287	sdluweiaids@yahoo.cn	0.0	0.0	2.0	2.0	   	0.0	无																			1306	53370000MJD6765999
1307	2013	山东省鲁能彩虹援助基金会	Shandong Luneng Rainbow Aid Foundation	鲁基证字第000012号	78718020-0	面向企业，面向社会，资助贫困职工和贫困学生，为企业和职工积极参与社会救助、奉献爱心创造条件，以促进社会和谐，推动社会文明进步。	依法筹集、管理基金，开展资助贫困职工和贫困优秀大学生等帮扶活动	非公募	地方	省级民政部门	山东电力集团公司	2005-12-26 00:00:00	800万元		250001	Shandong Sheng	Jinan Shi	[36.664562, 116.996994]		吕强	刘伟志	张建一	理事	0531-80126466	0531-80126474	sddlgh@126.com																										1307	53370000MJD675764T
1308	2013	山东省黄河三角洲新能源基金会	Shandong Yellow River Delta New Sources o	鲁基证字第000062号	577764101	组织开展新能源领域的科学研究、宣传教育、人才培训、学术交流等，推动黄河三角洲新能源产业的发展，为建设黄河三角洲高效生态经济区贡献力量。	资助新能源领域的科学技术研究项目；资助有利于新能源产业发展的宣传教育活动；资助有利于新能源产业发展的学术交流、培训和出版发行等活动；依据本会宗旨和捐赠者意愿，资助有利于新	非公募	地方	省级民政部门	山东省科学技术协会	2011-10-19 00:00:00	200万元		257062	Shandong Sheng	Dongying Shi	[37.453365, 118.520195]	http://www.xnyjjh.cn	王延生	陈功明	崔岭萍		0546-7771532	0546-7771532	13678616666cgm@163.com																										1308	53370000MJD67514X4
1309	2013	山东科技大学教育发展基金会	Shandong University of Science and Techno	鲁基证字第000044号	68174767-8	利用社会力量支持山东科技大学教育事业发展。多渠道接受办学资金。接受企业、社会团体、个人的支持和捐助，提高学校教育教学质量和学术水平，推动教育事业的发展。	资助贫困学生，奖励优秀学生和教师，支持学校发展的其他公益项目。   	非公募	地方	省级民政部门	山东省教育厅	2008-11-07 00:00:00	200万元		266590	Shandong Sheng	Qingdao Shi	[35.962376, 120.18481]		张士强	王伟	薛力	基金会秘书	0532-86057167	0532-86057167	xueli78@126.com　	0.0	0.0	4.0	0.0	   	0.0	公益性捐赠税前扣除资格																			1309	53370000MJD675430A
1310	2013	山东英才学院教育发展基金会	Shandong Yingcai University Education Dev	鲁基证字第000069号	50936800	遵守宪法、法律、法规和国家政策，遵守社会道德风尚，为社会公益事业服务。积极争取境内外企事业单位、社会团体、自然人的支持和捐助，推动民办教育事业的发展，不断提升教育教学质量	（一）支持教学与研究设施的改善；  （二）设立奖学金、助学金及奖教金；  （三）资助教学研究、科学与技术研究项目及专著出版；  （四）资助高校间合作项目的开展和重要学术会议；  （	非公募	地方	省级民政部门	山东省教育厅	2012-05-15 00:00:00	300万元		250104	Shandong Sheng	Jinan Shi	[36.68126, 117.52623]	http://edf.ycxy.com/	夏季亭	孙玉香	肖俊茹	山东英才学院院长办公室文字秘书 兼基金会综合干事	0531-88253005	0531-88257501	sdycjyjjh@126.com	0.0	0.0	1.0	326.0	未参评	4.0	公益性捐赠税前扣除资格																			1310	53370000MJD675465W
1311	2013	山东财经大学教育基金会	Shandong Economic University Education Fo	鲁基证字第000041号	67811393-0	利用社会力量促进山东经济学院的建设和发展	筹集资金，改善办学条件，资助有利于学校、教师、学生发展的项目	非公募	地方	省级民政部门	山东省教育厅	2008-07-07 00:00:00	210万元		250014	Shandong Sheng	Jinan Shi	[36.638344, 117.025734]	http://http://pub.sdufe.edu.cn/jyjjh/	郝书辰	耿金波	陈伟伟	办公室工作人员	0531-82619081	0531-82619081	xiaoyouban@126.com	0.0	0.0	0.0	0.0	未参评	0.0	公益性捐赠税前扣除资格																			1311	53370000MJD675553B
1312	2013	山西煤海扶贫助学基金会	Shanxi Meihai Foundation for poverty Alle	基证字第048号	06073863X			非公募	地方	省级民政部门		2013-02-01 00:00:00			30006	Shanxi Sheng	Taiyuan Shi	[37.82312, 112.565994]																																		1312	
1313	2013	山西省东冶建成教育基金会	Shanxi Dongye Jiancheng Education Foundat	基证字第033号	586172490	弘扬中华民族尊师重教优良传统，加快发展五台县东冶镇教育事业发展步伐。	奖励五台县东冶镇优秀教师、优秀学生，资助贫困学生和教育事业。	非公募	地方	省级民政部门	山西省教育厅	2011-11-10 00:00:00	200万元		35503	Shanxi Sheng	Xinzhou Shi	[38.644226, 113.164276]		石建成	王昌荣	白峰伟		0350-6552301	0350-6552301	sxsdyjcjyjjh@163.com	0.0	0.0	0.0	3.0	2A	0.0	无																			1313	53140000586172490E
1314	2013	山西省人民教育基金会	Shanxi People's Education Foundation	基证字第007号	783263551	接受社会各界对教育的捐赠，组织开展“尊师重教 奖优济困”活动，发展教育事业。	接受社会各界对山西省教育事业的捐赠，奖励和资助优秀教师学生、贫困教师学生。	公募	地方	省级民政部门	山西省教育厅	2005-12-16 00:00:00	600万元		30006	Shanxi Sheng	Taiyuan Shi	[37.812164, 112.5781]		李源泉	阎苏鹤	王慧平	会计、秘书	0351-3046532	0351-3046532	sxjjh@sina.com	0.0	0.0	4.0	0.0	4A	0.0	公益性捐赠税前扣除资格																			1314	531400007832635519
1315	2013	山西省代县雁门济困助学基金会	Shanxi Daixian Yanmen Education Foundation	基证字第034号	59738661-1	关注贫困、关爱教育、构建和谐育人环境。	向义务教育阶段的优秀贫困在校学生发放资助金，向高中、大学阶段的贫困在校生提供  资助。奖励热心助学的团体人士。	非公募	地方	省级民政部门	山西省教育厅	2012-05-18 00:00:00	200万元		34200	Shanxi Sheng	Xinzhou Shi	[39.087357, 112.997406]		刘眉寿	谢金元	邓海平		0350-5226677		563584636@qq.com	1.0	0.0	4.0	0.0	未参评	1.0	无																			1315	53140000597386611N
1316	2013	山西省佛教文化基金会	Shanxi Buddhist Cultural Foundation	基证字第002号	506103111	发展和宏扬中国佛教文化	发展佛教事业为经济建设服务  	公募	地方	省级民政部门	山西省政协	1994-08-01 00:00:00	400万元		30002	Shanxi Sheng	Taiyuan Shi	[37.893955, 112.5706]	http://xinzhou.china.cn/node_4024.htm	王化伦	吉万林	郭华		0531-3869559																												1316	53140000506103111Q
1317	2013	山西省健康促进基金会	Shanxi Health Promotion Foundation	基证字第043号	58854826	筹集健康促进资金，资助健康事业，普及健康知识，提高全民健康水平，为建设“健康山西”做出贡献。	推动疾病防治宣传、健康文化传播和知识普及；资助健康领域的科学研究和人才建设；开展促进健康的公益活动。	公募	地方	省级民政部门	山西省卫生厅	2012-11-13 00:00:00	500万元		30032	Shanxi Sheng	Taiyuan Shi	[37.7785, 112.57588]	http://sxhpf.com/	续建绑	韩士生	毕霖	办公室主任	0351-8069025	0351-8069020	sxsjksjjjh@163.COM	1.0	0.0	0.0	0.0	未参评	0.0																				1317	53140000058854826Y
1318	2013	山西省公安民警抚恤救助基金会	Shanxi Police Aid Foundation	基证字第10号	788532263	抚慰民警 凝聚警心 弘扬正气 激励斗志	对烈士、因公牺牲的民警家属进行抚恤，资助大病公安民警等。	公募	地方	省级民政部门	山西省公安厅	2006-05-24 00:00:00	425万元		30001	Shanxi Sheng	Taiyuan Shi	[37.8658, 112.57479]		任鸿太	刘秉毅	郭九堂	出纳	0351-3659725	0351-3659725	gjt118171110@163.com	0.0	0.0	4.0	11.0	3A	0.0	公益性捐赠税前扣除资格																			1318	53140000788532263P
1319	2013	山西省关心下一代事业发展基金会	Shanxi Caring Younger Generation Foundati	基证字第006号	792222161	通过募捐积累资金用于未成年人思想道德教育，使青少年健康成长	支持农村图书室建设，扶贫助学，帮助特困生完成学业。	公募	地方	省级民政部门	山西省委办公厅	1996-12-02 00:00:00	220万元		30071	Shanxi Sheng	Taiyuan Shi	[37.860123, 112.54501]		武正国	郭建利	刘洋	出纳	0351-4018892	3514019664		1.0	1.0	0.0	0.0	未参评	0.0	无																			1319	53140000MJ163205XN
1320	2013	山西省出生缺陷干预救助基金会	Shanxi Birth Defects Intervention Assista	基证字第046号	58867096	救助出生缺陷儿童康复，研究寻求从源头解决出生缺陷办法，减少出生缺陷发生率。	对出生缺陷患者进行救助，开展出生缺陷干预救助事业的宣传教育	公募	地方	省级民政部门	山西省卫生厅	2012-12-06 00:00:00	400万元		30006	Shanxi Sheng	Taiyuan Shi	[37.785683, 112.55745]		王裕	郭兴萍	张丽君	秘书	0351-7191885	0351-7191885	lijun.zhang@caregeno.com	2.0	0.0	2.0	0.0	未参评	0.0	公益性捐赠税前扣除资格																			1320	531400000588670966
1321	2013	山西省创业就业基金会	Shanxi Entrepreneurial and Employment Fou	基证字第026号	551452898	扶助一个创业者，成就一个未来企业家	筹集资金，对创业者给予资金帮扶、培训，开发创业项目，奖励创业就业工作者	公募	地方	省级民政部门	山西省人力资源和社会保障厅	2010-01-26 00:00:00	400万元		30012	Shanxi Sheng	Taiyuan Shi	[37.846886, 112.55176]	http://www.sxcyw.org.cn	姚新章	秦文鸿	黄超	基金管理科	0351-7038688	0351-7038699		1.0	1.0	15.0	0.0	未参评	0.0	公益性捐赠税前扣除资格																			1321	531400005514528981
1322	2013	山西省华宇慈善基金会	Shanxi Huayu Charity Foundation	基证字第024号	694250783	本着“发展不忘回报，成长不忘公益”的原则，积极关心社会公益事业，帮助灾区人民和特困家庭解决困难，走出困境。	资助灾区人民；帮助城乡特困家庭解决生活困难；救助低保、优抚对象、五保供养人员等。	非公募	地方	省级民政部门	山西省民政厅	2009-08-18 00:00:00	200万元		30002	Shanxi Sheng	Taiyuan Shi	[37.86447, 112.562035]		赵昆山	崔海燕	郝鹏	业务负责人	0351-8308033	0351-8308007	xin.liu@huayug.com	0.0	0.0	0.0	0.0	未参评	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			1322	53140000694250783D
1323	2013	山西省华安扶贫基金会	Shanxi Huaan Foundation for Poverty Allev	基证字第030号	581200093	以扶贫为己任，减少社会贫困面，促进社会和谐	扶持贫困地区脱贫致富，扶持贫困学生和其它需要救助的人群。	非公募	地方	省级民政部门	山西省扶贫办	2011-08-09 00:00:00	200万元		33300	Shanxi Sheng	Lvliang Shi	[37.442024, 110.91606]		车安奎	卫天照	尹晋飞	副理事长	0358-4013999	0358-4012117	1250664703@qq.com	0.0	0.0	13.0	0.0	未参评	0.0	公益性捐赠税前扣除资格																			1323	531400005812000930
1324	2013	山西省合创爱心助困基金会	Shanxi Hechuang Foundation for Poverty Al	基证字第017号	662390159	捐资助学、奉献爱心、回报社会	开展扶贫、助学活动	非公募	地方	省级民政部门	山西省民政厅	2007-06-14 00:00:00	200万元		30032	Shanxi Sheng	Taiyuan Shi	[37.81016, 112.56177]		燕雨亭	孙雁卿	李婷	总经理工作部	0351-7025903	0351-7025903	hchrlzy@163.com	0.0	0.0	0.0	7.0	4A	0.0	公益性捐赠税前扣除资格																			1324	53140000662390159R
1325	2013	山西省吕梁东江教育基金会	Shanxi Lvliang Dong Jiang Education Found	基证字第050号	75523041	助学、支持教育发展	资助贫困学生、开展多种支教活动	非公募	地方	省级民政部门	山西省教育厅	2013-08-01 00:00:00	300万元		33000	Shanxi Sheng	Lvliang Shi	[37.522354, 111.16354]		王开旺	白永成	郭小凤	理事	0358-8267716	0358-8267705	1057925206@qq.com	0.0	0.0	4.0	0.0	   	0.0	公益性捐赠税前扣除资格																			1325	
1326	2013	山西省和顺县扶贫基金会	Shanxi Heshun Foundation for Poverty Alle	基证字第042号	51995415	募集社会资金，扶助贫困人口，加快脱贫致富。	依法管好用好基金，扶危济困，资助贫困人口发展种养产业，实施项目开发。	公募	地方	省级民政部门	山西省扶贫办公室	2012-09-03 00:00:00	400万元		32700	Shanxi Sheng	Jinzhong Shi	[37.3264, 113.57846]		白世培	徐斌玉	范丽芳	会计	0354-8348056	0354-8348056	hsfpjjh@163.com	0.0	0.0	6.0	0.0	未参评	0.0	公益性捐赠税前扣除资格																			1326	53140000051995415H
1327	2013	山西省大同市扶贫基金会	Datong Foundation for Poverty Alleviation	基证字第011号	729654340	募集资金，扶持促进贫困地区和革命老区农民脱贫致富	通过多种渠道募集资金、物资，为企业提供服务，扶持贫困地区农民脱贫致富   	公募	地方	省级民政部门	大同市人民政府办公厅	2006-08-28 00:00:00	404万元		37006	Shanxi Sheng	Datong Shi	[40.036858, 113.17721]		赵仁家	郑成	兰凤仙	山西省大同市扶贫基金会财务部副部长	0352-2094796	0352-2094796	dtfupin@126.com	0.0	0.0	3.0	6.0	3A	0.0	无																			1327	53140000729654340C
1328	2013	山西省太原市临县商会助学基金会	Shanxi Taiyuan Linxian Commerce Student G	基证字第030号	568488563	发扬人道主义精神，弘扬中华民族扶贫济困的传统美德，开展捐资助学慈善救助工作，帮助临县籍贫困学生完成阶段教育，鼓励他们克服困难，发奋读书，早日成才。	（一）依法接受捐赠；  （二）公开、公正、公平和科学有效地实施贫困学生的救助活动。	非公募	地方	省级民政部门	山西省教育厅	2011-01-17 00:00:00	200万元		30024	Shanxi Sheng	Taiyuan Shi	[37.856323, 112.5192]	http://http://www.tylxsh.com/Aboutus.asp?Title=%C9%CC%BB%E1%BB%F9%BD%F0%BB%E1	任殿荣	高廷峰	李林林	职员	0351-5226580	0351-5226580	Lxsh20040318@163.com	0.0	0.0	6.0	0.0		200.0	无																			1328	53140000568488563D
1329	2013	山西省妇女儿童发展基金会	Shanxi Women and Children Development Fou	基证字第056号	83713355	全面提高妇女儿童素质、维护妇女儿童的合法权益，救助处于困境的妇女儿童，促  进全社会为妇女儿童发展创造良好环境。	举办妇女儿童培训、咨询及社会教育事业；兴办福利事业、维护妇儿合法权益，帮  助妇女就业，帮助儿童接受教育。	公募	地方	省级民政部门	山西省民政厅	2013-11-28 00:00:00	400万元		30001	Shanxi Sheng	Taiyuan Shi	[37.863453, 112.5634]	http://www.sxfejjh.org/	王永平	张进华	范永强	项目办主任			sxfrjjh@163.com	0.0	0.0	3.0	0.0	未参评	0.0	公益性捐赠税前扣除资格																			1329	53140000MJ16325191
1330	2013	山西省姚奠中国学教育基金会	Shanxi Yaodianzhong Education Foundation 	基证字第025号	699145333	支持扶助国学研究和教育的重大项目，奖励为国学研究和教育做出贡献的学者、教师和学生，加强与国内外各界的联系与合作，开展弘扬国学的各类活动。	以多种渠道、多种形式筹措资金、管理和运作基金；支持补助国学研究和教育的重大项目；奖励为国学研究和教育做出贡献的学者、教师和学生；加强本基金会与国内外各界的联系和合作，开展	非公募	地方	省级民政部门	山西省教育厅	2010-12-26 00:00:00	210万元		30006	Shanxi Sheng	Taiyuan Shi	[37.805447, 112.58473]	http://www.ydzjjh.com/	姚大云	姚力芸	刘艳芝	会计	0351-8065965	0351-8065965	yanzhi7451321@163.com	0.0	0.0	0.0	0.0	3A	0.0	公益性捐赠税前扣除资格																			1330	53140000699145333A
1331	2013	山西省孝义市扶贫基金会	Shanxi Xiaoyi Foundation for Poverty Alle	基证字第023号	689875658	以扶贫济困为己任，为建设和谐社会服务。  	一是接受山西省行政区域内热心支持孝义扶贫事业的政府团体，企事业单位和个人提供的资金、物资捐赠及技术捐助；二是按照合法、自愿的原则，通过多渠道牵线搭桥开展各种相关活动募集扶	公募	地方	省级民政部门	山西省农业厅	2009-06-04 00:00:00	400万元		32300	Shanxi Sheng	Lvliang Shi	[37.148647, 111.78277]	http://www.xiaoyifp.com/	任张广	张万玥	武卫平	财务部主任	0358-7828865	(0358 )-7828010	xyfpjjh@163.com	0.0	0.0	11.0	20.0	4A	0.0	公益性捐赠税前扣除资格																			1331	531400006898756584
1332	2013	山西省岚县民觉教育基金会	Shanxi Lanxian Minjue Education Foundation	基证字第027号	568476028	推动岚县教育事业的发展	筹措资金，资助岚县教育事业及贫困学子、奖励先进教育单位和个人。	公募	地方	省级民政部门	山西省教育厅	2010-10-26 00:00:00	400万元		33500	Shanxi Sheng	Lvliang Shi	[38.279045, 111.67303]		王炳	刘宝珍	李清明	会计	0358-6723133	0358-6728891		0.0	0.0	4.0	0.0	   	0.0	无																			1332	531400005684760286
1333	2013	山西省平顺县申纪兰扶贫助教基金会	Shanxi Pingshun Shenjilan Supporting Foun	基证字第022号	686255541	依法资助平顺县贫困、特殊家庭子女完成学业，使其成为社会有用人才。	接受捐赠、对贫困学生给予适当补助、救助。	非公募	地方	省级民政部门	山西省教育厅	2009-02-10 00:00:00	200万元		47400	Shanxi Sheng	Changzhi Shi	[36.1425, 113.444885]		张高明	郭雪岗	郭雪岗	秘书长	0355-8871188	0355-8871188	Xg2005@sina.com	1.0	0.0	0.0	0.0	   	0.0	无																			1333	531400006862555416
1334	2013	山西省德盛昌慈善基金会	Shanxi Deshengchang Charity Foundation	基证字第045号	58869139	弘扬慈善精神，救助困难人群，促进社会和谐。	开展济困扶贫赈灾助残等社会救助工作，帮助贫困地区改善教学环境。	非公募	地方	省级民政部门	山西省民政厅	2012-12-06 00:00:00	200万元		34000	Shanxi Sheng	Xinzhou Shi	[38.465015, 112.72764]	http://www.sxsdsc.cn/	刘有为	刘长才	李水田	副理事长	0350-3338830	0350-3033166	dsc3031115@163.com	0.0	0.0	4.0	30.0	未参评	0.0	公益性捐赠税前扣除资格																			1334	53140000MJ1632412M
1335	2013	山西省恒富助学奖学基金会	Shanxi Hengfu Student Grants Foundation	基证字第035号	597376587	推动洪洞教育事业发展，促进洪洞精神文明建设。	对在洪洞县参加高考，录取到二本B类以上院校的洪洞籍贫困学生进行资助和参加高考表现突出的学生进行奖励。	非公募	地方	省级民政部门	山西省教育厅	2012-05-21 00:00:00	200万元		41600	Shanxi Sheng	Linfen Shi	[36.26172, 111.67189]		宋红生	毛福云	贺小璐	监事	0357-6658899		850477371@qq.com	0.0	0.0	0.0	0.0	未参评	0.0	非营利组织免税资格																			1335	531400005973765873
1336	2013	山西省扶贫基金会	Shanxi Foundation For Poverty Alleviation	基证字第004号	74353265-7	贯彻科学发展观，促进构建和谐社会，积极募集各方资金，扶持促进贫困地区农民脱贫致富，为全面建设小康社会服务。	募集资金，扶持促进贫困地区农民脱贫致富。	公募	地方	省级民政部门	山西省农业厅	1993-07-01 00:00:00	500万元		30009	Shanxi Sheng	Taiyuan Shi	[37.880665, 112.56513]		徐生岚	邓守义	高萍	办公室副主任、会计	0351-3195031	0351-3195031		0.0	0.0	21.0	25.0	未参评	0.0	无																			1336	53140000743532657J
1337	2013	山西省振兴京剧基金会	Shanxi Revitalizing Beijing Opera  Founda	基证字第021号	681934879	弘扬国粹艺术，为振兴和繁荣京剧事业，筹措发展京剧艺术资金，重点支持我省京剧艺术团体重点剧目的创作演出，支持培养京剧艺术优秀青年，支持抢救、保护、整理、研究和出版具有重要艺	支持我省重点京剧剧目创作、演出，举办京剧优秀剧目展演、研究出版重要京剧资料，资助京剧人才培养。	非公募	地方	省级民政部门	山西省文化厅	2008-12-09 00:00:00	260万元		30001	Shanxi Sheng	Taiyuan Shi	[37.854515, 112.5532]		郭晋普	常喜刚	原菊红	出纳	0351-4076838		yao7yao8@163.com	2.0	0.0	1.0	10.0	3A	0.0																				1337	53140000681934879F
1338	2013	山西省教科文发展基金会	Shanxi Foundation for Science and Cultural	基证字第003号	50610005X	团结三晋大地各界有识之士，广泛募集资金，积极开展在科学、教育、文化、卫生、体育等方面的扶贫助困活动。	广泛募集社会资金，推进教科文事业发展；加强多边协调交流，服务教科文项目建设；运用信息网络平台，促进教科文发展研究；开展各项公益活动，提升基金会社会形象。	公募	地方	省级民政部门	山西省政府办公厅	1992-05-01 00:00:00	400万元		30012	Shanxi Sheng	Taiyuan Shi	[37.827984, 112.55346]		杨声	李乃崇	李涛		0351-4728869		18603418615@163.com	0.0	0.0	8.0	100.0		0.0	公益性捐赠税前扣除资格																			1338	5314000050610005X8
