机构ID	数据年度	机构名称	基金会英文名称	登记证号	组织机构代码	宗旨	业务范围	基金会类型	成立时间	原始基金数额	登记部门	业务主管单位	基金会地址	邮编	秘书长	理事长	对外联系人姓名	联系人职务	联系人固话	联系人传真	联系人电子邮箱	机构官网	负责人中国家工作人员数	负责人中担任过省部级工作人员数	专项基金数	专职工作人员数	志愿者数量	评估情况	税收优惠资格取得情况
2077	2014	河北省静远教育基金会	Hebei Jingyuan Education Foundation	冀民基证字第0011号	55607209-3	鼓励品学兼优的在校生，辅助国家发展教育事业，鼓励学校及教师积极为迁西教育事业发展做贡献。	管理河北省静远教育基金，使该基金增值，奖励迁西县第一中学的优秀师生。	非公募	2006年05月24日	200万元	省级民政部门	河北省教育厅	河北省唐山市迁西县三屯营镇东河北津西钢铁集团股份有限公司办公室	064302	庞宝印	韩敬远	李晓进	办公室主任	0315-5888246	0315-5888575	jxcwlxj@163.com		0.0	0.0	0.0	2.0	2.0	未参评	无
2078	2014	河北石家庄二中教育发展基金会	Heibei Shijiazhuang No. High School Education Development Foundation	冀民基证字第0032号	57957996-2	汇集八方涓流，共创教育伟业，全面支持和推动石家庄二中的建设和教育事业发展。	资助石家庄二中在校贫困学生；奖励石家庄二中品学兼优的在校学生和优秀教职工；支持学科和特色课程的建设，以及支持与石家庄二中教育事业相关及社会公益性质的其它项目。	非公募	2011年07月24日	200万元	省级民政部门	河北省教育厅	河北省石家庄市新华区兴凯路187号石家庄市第二中学1号楼210室	050000	霍东军	芦晓华	霍东军	基金会办公室副主任	0311-87022964	0311-87022964	87022964@qq.com		0.0	0.0	0.0	0.0	0.0	未参评	无
2079	2014	河北精英教育基金会	Heibei Jingying Education Foundation	冀民基证字第0044号	061695416	遵守中华人民共和国宪法、法律、法规和国家政策，遵守社会道德规范，为发展教育提供服务、奖教、助学	接受社会捐赠；资助困难学生和特困教师；开展与国内外办学机构的联系与合作；开展社会公益活动；设立校园建设基金以及符合基金会宗旨的其他基金项目。	非公募	2013年01月21日	200万元	省级民政部门	河北省教育厅	河北省石家庄市高新区高新技术产业开发区学苑路25号	130100	高军	申莉莉	刘元丽	办公室副主任	0311-87319692	0311-87319692	513553616@qq.com		0.0	0.0	0.0	3.0	10.0	未参评	无
2080	2014	河北进德公益基金会	Hebei Jinde Public Welfare Foundation	冀民基证字第0028号	57675389-X	遵守宪法、法律、法规和国家政策，遵守社会道德风尚，积极开展社会公益服务。扶持社会弱势群体，倡导“奉献、友爱、互助、进步，”共助和谐社会。	赈灾及个人家庭援助；解决贫困地区饮用水、环保、卫生、孤残教育等项目；助学、宣传预防艾滋病知识、关爱感染者及家庭项目；扶持敬老院、免费护理培训等安老项目；与其他慈善机构的合作项目。	非公募	2011年05月31日	200万元	省级民政部门	河北省民族宗教事务厅	河北省石家庄市桥东区学府路3号进德公益	050061	任大海	张士江	胡丽敏	宣传部长	0311-86860053	0311-86831829	info@jinde.org	http://www.jinde.org	1.0	0.0	0.0	24.0	130.0	4A	公益性捐赠税前扣除资格,非营利组织免税资格
2081	2014	河北阳光慈善基金会	Hebei Sunshine Charity Foundation	冀民基证字第0047号	069434827	本基金会遵守中华人民共和国宪法和相关法律、法规和国家政策，遵守社会道德风尚,本基金会以行广善爱护帮为宗旨。	资助贫困学生，帮助家庭困难的孩子完成事业，扶助生活困难老人，资助老年机构建设及福利服务；对受灾地区，困难群众进行救助；帮助残疾人，资助有利于残疾人福利机构和公益活动；奖励对慈善事业的重大贡献者和见义勇为者；组织与其他慈善基金会的交流和探讨。	非公募	2013年05月30日	200万元	省级民政部门	直接登记	河北省石家庄市长安区体育北大街6号金隅公寓1号楼3层	050000	张栓成	刘广谦	牛立平		0311-67303333	0311-67303333	10057766@qq.com	http://www.sunhb.org/	0.0	0.0	0.0	4.0	120.0	未参评	无
2082	2014	河南中原大佛基金会	He'nan Zhongyuandafo Foundation	豫民基证字第0028-G号	67946093-4	遵守国家宪法、法律、法规及相关政策、规定，贯彻国家政策促进中原大佛旅游区的建设与发展、旅游交流活动组织；旅游产品的开发与深度挖掘、社会公益事业的发展等。	依法募集资金，资助天瑞大佛旅游区建设及相关旅游公益活动。	公募	2008年08月25日	400万元	省级民政部门	河南省旅游局	河南省平顶山市鲁山县赵村乡上汤村天瑞宾馆	467341	黄福堂	付顺利	仲俊鹏	科员	0375-5767323	0375-5767403	trlycwb@126.com	http://www.zydffoundation.org/dafo	0.0	0.0	0.0	6.0	0.0	未参评	无
2083	2014	河南交通职业技术学院教育发展基金会	Henan College of Transport Education Development Foundation	豫民基证字第0100-F号	08226265-2	开展奖学助教，改善办学条件，促进学院健康发展。	依法接受社会捐赠，开展奖教助学活动	非公募	2013年11月25日	200万元	省级民政部门	河南省教育厅	河南省郑州市二七区航海中路165号	450005	吴运友	徐强	谢涛	工作联系人	0371-60868321	0371-60868028	moyadewa@163.com		0.0	0.0	0.0	0.0	0.0	未参评	无
2084	2014	河南农业大学教育发展基金会	He'nan Agricultural University Education Development Foundation	豫民基证字第0054-F号	56512326X	促进河南农业大学教学质量、学术水平的提高，为国家培养更多更好的优秀人才。	依法接受社会捐赠，开展奖教助学活动。	非公募	2010年11月03日	1,000万元	省级民政部门	河南省教育厅	河南省郑州市金水区农业路63号院河南农业大学13号楼	450002	夏越新	杨德东	王宏立		0371-63558309	0371-63555276	xueshengchu@henau.edu.cn								
2085	2014	河南大学教育发展基金会	He'nan University Education Development Foundation	基证字第1087号	717829828	遵守中华人民共和国宪法、法律、法规和国家政策，遵守社会道德风尚，致力于加强河南大学与国内外各界的联系和合作，争取国内外团体和个人的支持和捐助，促进河南大学教学、科学研究的发展。	募集资金接受捐赠学术交流书刊编辑国际合作	非公募	2011年06月10日	2,000万元	民政部	教育部	河南省开封市顺河回族区河南省开封市金明大道河南大学金明校区	475001	郭志祥	关爱和	王林丽	综合事务部部长	0378-22196086	0378-22868822	edf@henu.edu.cn	http://edf.henu.edu.cn	0.0	0.0	0.0	9.0	10.0	4A	公益性捐赠税前扣除资格,非营利组织免税资格
2086	2014	河南大相国寺慈善基金会	Henan Daxiagnguo Temple Charity Foundation	豫民基证字第0090-F号	074241819-9	遵守宪法、法律、法规和国家政策，支持公益慈善事业，促进社会和谐与发展。	依法接受捐赠，开展安老慰孤、扶贫解困活动	非公募	2013年08月05日	400万元	省级民政部门	河南省人民政府宗教事务局	河南省开封市鼓楼区自由路西段36号	475000	源彬	释心广	杨新扬	办公室主任	0371-22733041	0371-22733041	2795337850@qq.com	http://jjh.daxiangguosi.com/	0.0	0.0	0.0	3.0	20.0		无
2087	2014	河南牧野文化基金会	He'nan Muye Culture Foundation	豫民基证字第0069-F号	59244611X	推动华夏文明传承创新，促进牧野文化发展繁荣。	依法接受社会捐赠，开展各类文化公益活动。	非公募	2012年03月23日	200万元	省级民政部门	河南省文化厅	河南省新乡市红旗区金穗大道688号商会大厦A座12楼	453000	魏民	李宝琴	王丽	职员	0373-3523282	0373-3523281	xxwentou@163.com	http://muyewenhua.com	0.0	0.0	0.0	0.0	0.0	未参评	公益性捐赠税前扣除资格
2088	2014	河南理工大学教育发展基金会	He'nan Polytechnic University Education Development Foundation	豫民基证字第0049-F号	556904275	为河南理工大学教育发展和社会公益事业服务	依法接受社会捐赠，开展奖教助学活动。	非公募	2010年06月01日	300万元	省级民政部门	河南省教育厅	河南省焦作市修武县河南省焦作市世纪大道2001号	454003	杨韶昆	王少安	陈琳	秘书处工作人员	0391-3987038	0391-3987084	hnlgxyh@hpu.edu.cn	http://www2.hpu.edu.cn/topic/ef/index.html	0.0	0.0	0.0	2.0	0.0	未参评	公益性捐赠税前扣除资格,非营利组织免税资格
2089	2014	河南省上上公益基金会	He'nan Shangshang Welfare Foundation	豫民基证字第0085-F号	065290053	汇集爱心，弘扬美德，解困者之忧，行救助之善，促进社会公益事业发展，服务社会和谐文明。	依法接受社会捐赠，开展贫困对象救助活动	非公募	2013年04月11日	200万元	省级民政部门	河南省工商联合会	河南省郑州市金水区郑东新区普惠路与列里路交叉口卢浮公馆3期3-2495	450000	崔春含	李芳菲	赵艳萍	会计	0371-63830999	0371-63830999	58804073@qq.com	http://www.shangshangjt.com/welfare/about_us.html	0.0	0.0	0.0	1.0	0.0	未参评	无
2090	2014	河南省东方文化艺术基金会	Dongfang Cultural Art Foundation	豫民基证字第0098-F号	080843816	依据国家有关法律、政策和规定，筹集文化艺术基金，资助、扶植、推动我省文化艺术事业繁荣和文化产业发展	依法接受捐赠，开展文化艺术公益活动	非公募	2013年10月31日	200万元	省级民政部门	省文化厅	河南省郑州市金水区紫荆山路16号紫金城1单元1704号	450000	赵长德	刘跃军	刘杰	财会	0371-66259669	0371-66259669	2101378451@qq.com	http://www.toafund.org.cn/index.html	0.0	0.0	0.0	1.0	0.0	未参评	无
2091	2014	河南省中原发展研究基金会	He'nan Zhongyuan Development Research Foundation	豫民基证字第0060-F号	577614509	支持和推动关于中原经济发展与社会转型方面的基础研究与对策研究	依法接受社会捐赠，开展中原经济发展的研究活动	非公募	2011年06月21日	200万元	省级民政部门	河南省工业和信息化厅	河南省郑州市金水区商务内环路26号2单元902	450018	宋伟	耿明斋	张玉恒	秘书长	0371-69106227	0371-69106227	zyfzbg@163.com		0.0	0.0	0.0	4.0	4.0	未参评	公益性捐赠税前扣除资格
2092	2014	河南省中原文化建设发展基金会	He'nan Zhongyuan Culture Development Foundation	豫民基证字第0038-G号	69353673-9	以从事公益事业为目的，多方筹集资金，促进文化交流，推动文化创新，繁荣文化事业和产业的发展。	（一）接受社会捐赠资金，遵照《基金会管理条例》有关规定，合法有效地进行资金运作管理；（二）联络国内外团体和人士，致力于原文化事业发展和研究；（三）支持和资助公益文化项目，推动文化创新，扶植文化人才；（四）支持和开展两岸文化交流活动，促进祖国和平统一。	公募	2009年08月24日	400万元	省级民政部门	河南省文化厅	河南省郑州市金水区红专路109号金城商务大厦607、609室	450000	曹相春	朱波	马红莉	副秘书长	0371-60958077	0371-60958099	zywh@zhongyuanwenhua.org	http://www.zhongyuanwenhua.org							公益性捐赠税前扣除资格
2093	2014	河南省中原文物保护基金会	He'nan Zhongyuan Culture  Relics  Protection  Foundation	豫民基证字第0009-F号	79191145-9	遵守国家法律，法规，政策，遵守社会公德，保护抢救文物，推进文物事业发展，弘扬中华民族优秀文化。	依法接受社会捐赠，进行文物征集和保护。	非公募	2006年01月20日	200万元	省级民政部门	河南省文物管理局	河南省郑州市金水区农业路8号	450002	郭向亭	孙新民	张松臣	会计	0371-63511097	0371-63850606	lyf1097@sina.com		0.0	0.0	0.0	0.0	0.0	未参评	公益性捐赠税前扣除资格
2094	2014	河南省中原老龄产业发展基金会	He'nan Zhongyuan Aging Industry Development Foundation	豫民基证字第0066-F号	58856483-4	推进中原老年社会福利、医疗卫生、文化体育、老年地产等各项事业的发展。基金会以老年人为本，全心全意为老年人服务，并呼吁社会共同尊重，关心和帮助老年人。	根据老年群体的需求，创办和资助老年社会福利、文化、体育事业等项目。	非公募	2011年12月19日	200万元	省级民政部门	河南省民政厅	河南省郑州市管城回族区紫荆山路57号裕鸿国际A栋8层801室	450000	张小庆	张战防	申亮亮	会计	0371-86062175	0371-86062173	zylljjh@163.com	http://www.hnslnjjh.com	0.0	0.0	0.0	1.0	0.0	未参评	公益性捐赠税前扣除资格
2095	2014	河南省丹阳助老基金会	He'nan Danyang Foundation for Senior Persons	豫民基证字第0065-F号	587063659	弘扬中华民族爱老、敬老、助老的传统美德。	依法接受社会捐赠，开展各类爱老、助老活动。	非公募	2011年11月30日	200万元	省级民政部门	河南省民政厅	河南省南阳市淅川县灌河路一帆风顺楼下	474450	马飞	叶建平	马飞	秘书长	0377-69231789	0377-69231789	326333867@qq.com		0.0	0.0	0.0	1.0	0.0	未参评	公益性捐赠税前扣除资格
2097	2014	河南省体育发展基金会	He'nan Sports Development Foundation	豫民基证字第0084-G号	065288914	致力于河南省竞技体育和运动员保障，促进河南体育事业和谐发展	依法募集社会资金，开展体育人才培养，体育科技项目研究，奖励为体育事业做出贡献的单位和个人等公益活动	公募	2013年03月26日	400万元	省级民政部门	河南省体育局	河南省郑州市金水区体育局六楼601号	450012	丁安生	赵与龄	张梅梅	河南省体育局调研员	0371-63825762	0371-63825762	hntyjjh@163.com	http://jjh.henantiyu.com/	0.0	0.0	0.0	3.0	0.0	未参评	无
2098	2014	河南省儿童希望救助基金会	He'nan Children's Hope Foundation	豫民基证字第0045-F号	55317021-0	传递真爱，救助儿童，守护生命，给孩子家，健康和希望！	依法接受社会捐赠，开展孤残儿童寄养、领养等儿童救助活动	非公募	2010年03月29日	200万元	省级民政部门	河南省民政厅	河南省郑州市中原区航海西路帝湖花园后海公寓612	450000	陈慧	张雯	陈慧	秘书长	0371-86126152	0371-861261852	chenhui_zz@sina.com	http://www.childrenshope.org.cn/	0.0	0.0	0.0	9.0	260.0	未参评	无
2099	2014	河南省光彩事业基金会	He'nan Foundation for Guangcai Program 	豫民基证字第0020-G号	66598468-1	促进光彩事业发展，支持河南省社会扶贫和非公有制经济的创新发展。	依法募集资金，开展各种扶贫活动。	公募	2007年09月06日	400万元	省级民政部门	河南省委统战部	河南省郑州市金水区金水路14号	450003	马广骥	陶振江	孙瑛	理事	0371-65865196	0371-65904124	hntzbjlc@126.com	http://www.rootinhenan.com/gcjjh.html	0.0	0.0	0.0	4.0	6.0	未参评	公益性捐赠税前扣除资格
2100	2014	河南省公安民警英烈基金会	He'nan Province of police martyrs Foundation 	豫民基证字第0010-G号	78507272-4	抚慰民警、凝聚警心、弘扬正气、激励斗志。	募集社会资金，为全省公安民警英烈及家属提供抚恤	公募	2006年02月21日	600万元	省级民政部门	河南省公安厅	河南省郑州市金水区金水路9号	450003	郑献春	郑献春	申昀	办公室主任	0371-65882200	0371-65882773	hngajjh@163.com		0.0	0.0	0.0	11.0	0.0	未参评	公益性捐赠税前扣除资格
2101	2014	河南省关心下一代基金会	He'nan Youth Care Foundation	豫民基证字第0059-G号	572473778	为关爱青少年健康成长，树德育人，扶贫助困。	依法募集社会资金，开展青少年树德育人活动。	公募	2011年03月24日	400万元	省级民政部门	河南省政协办公厅	河南省郑州市金水区农业路2号省机电学校综合楼213室	450002	王日新	李中央	李莹	出纳	0371-65906909	0371-65906909	hnsgxxydjjh@126.com	http://www.hnsgjh.com/	0.0	1.0	0.0	3.0	0.0	未参评	公益性捐赠税前扣除资格
2102	2014	河南省兴达爱心基金会	He'nan Xingda Charity Foundation	豫民基证字第0053-F号	562486110	筹集慈善基金，致力回报社会，围绕党和政府关心及困难群体的需要，实施以济困助学为主要内容的慈善项目，资助社会工作人才队伍建设，发展慈善公益事业，促进社会和谐进步。	依法接受社会捐赠，开展各类社会救助活动	非公募	2010年09月26日	200万元	省级民政部门	河南省民政厅	河南省郑州市管城回族区金水东路299号浦发国际金融中心9号楼27层2702房间	450003	孙雪堂	王轲	赵晓飞	信息网络专员	0371-65897016	0371-65897100	xingdaax@163.com	http://www.xingda-inv.com/gysp.asp	0.0	0.0	2.0	0.0	0.0	未参评	无
2103	2014	河南省华夏历史文明传承创新基金会	He'nan Foundation of The Chinese historical civilization heritage innovation	豫民基证字第0074-F号	053374903	大力传承和弘扬华夏历史文明，充分保护和利用中原历史文化资源；鼓励创新，培育具有中原风貌、中国特色、时代特征和国际影响力的文化品牌，推进中原文化事业、文化产业健康发展，加快中原经济区建设步伐；促进民间文化交流与合作，提升中原文化软实力，增强中华民族凝聚力。	依法接受社会捐赠，开展华夏历史文明传承创新相关公益活动。	非公募	2012年09月04日	600万元	省级民政部门	河南省文化厅	河南省郑州市金水区郑东新区熊儿河路才高街东方鼎盛中心A座	45000	樊玉超	樊玉超	周全	工作人员	0371-55913594	0371-55913590	hxlsjjh@163.com		0.0	0.0	0.0	1.0	3.0	未参评	无
2104	2014	河南省华夏文化发展基金会	Henan Huaxia Cultural Development Foundation	豫民基证字第0091-F号	07423174-1	积极开展各项文化公益活动，依法接受社会捐赠、促进河南文化强省建设	依法接受捐赠、开展各项文化公益活动	公募	2013年08月06日	200万元	省级民政部门	河南省文化厅	河南省郑州市管城回族区城东路94号华亿大厦14楼	450003	王武伟	范文章	彭丽	综合办公室行政人员	0371-63318666	0371-65353881	qndbwww@163.com		0.0	0.0	0.0	5.0	0.0		无
2105	2014	河南省华康爱心教育基金会	He'nan Huakang Education Foundation	豫民基证字第0050-F号	55690468-9	遵守中华人民共和国宪法、法律、法规、规章和国家政策。遵守社会道德风尚，致力于弘扬中华民族扶贫济困的传统美德。帮助社会上不幸的个人和困难群体开展多种形式的救助工作。为建设和谐社会尽一份力。	依法接受社会捐赠，开展奖教助学活动。	非公募	2010年06月01日	200万元	省级民政部门	河南省教育厅	河南省郑州市金水区建业路90号院5号楼1单元11层	450008	王新华	高树森	霍晓华		0371-66535189	0371-66535189	missah@126.com		0.0	0.0	0.0	2.0	0.0	未参评	公益性捐赠税前扣除资格
2106	2014	河南省南阳张仲景基金会	He'nan Nanyang Zhangzhongjing Foundation	豫民基证字第0063-G号	586007030	弘扬和发展医圣仲景学说。为促进中医学事业和中西医结合的发展，为促进仲景学说全面走向世界作出贡献。	广泛宣传张仲景的崇高医德和科学精神；对张仲景学术思想研究有突出贡献的奖励。弘扬中医药文化，普及中医药知识和仲景学说，提高民族素质。	公募	2011年11月01日	400万元	省级民政部门	河南省中医管理局	河南省南阳市宛城区医圣祠街7号	473000	唐祖宣	解朝来	李湘	业务部	0377-61171076	0377-63167197	zzjjjh@126.com	http://zzjjjh.com/	0.0	0.0	0.0	7.0	0.0	未参评	公益性捐赠税前扣除资格
2107	2014	河南省博研助学基金会	He'nan Boyan Students Grants Foundation	豫民基证字第0013-F号	79191578-3	资助贫困优秀大学生、研究生	依法接受社会捐赠，资助贫困优秀大学生、研究生	非公募	2006年08月01日	200万元	省级民政部门	河南省教育厅	河南省郑州市管城回族区郑州经三路32号	450008	曹迪	文新灵	杨秀英	出纳	0371-65906283	0371-65906283	zhutaonba@yahoo.com.cn	http://www.boyan.org.cn/index.html	0.0	0.0	0.0	2.0	0.0	未参评	无
2108	2014	河南省原动力公益基金会	He'nan Yuandongli Welfare Foundation	豫民基证字第0079-F号	058777824	汇聚爱心，传递温暖，致力公益慈善事业，关爱青少年成长，倡导企业公民责任，推动社会和谐进步	（一）资助贫困家庭学生完成学业；（二）救助弱势儿童；实施专项资助；（三）开展与国内外同类基金会的合作、交流活动；（四）承担政府有关部门委托的工作任务。	非公募	2012年12月14日	200万元	省级民政部门	河南省工业和信息化厅	河南省郑州市金水区东风路18号7幢2单元1204室	450000	李富春	孟祥飞	张艳敏		0371-65829878	0371-65829878	luobaolind@163.com		0.0	0.0	0.0	2.0	0.0	未参评	公益性捐赠税前扣除资格
2109	2014	河南省司马光教育基金会	He'nan Simaguang Education Foundation 	豫民基证字第0032-F号	685667149	弘扬重教尚学的优良传统，促进教育事业优质均衡发展，动员社会各界人士支持教育，让大多数孩子能接受良好的教育，实现人人有学上，人人上好学的目标，为国家输送更多的人才，为社会发展提供智力支持和人才支持。	依法接受社会捐赠，开展奖教助学等活动	非公募	2009年03月05日	200万元	省级民政部门	河南省教育厅	河南省郑州市管城回族区郑东新区商务外环路A-22号意大利国际大厦A座17层02号	450000	张苏	冯琪雅	杨高阳		0371-65922678	0371-65922678	ymeng@linkhigh.cn		0.0	0.0	0.0	0.0	0.0	未参评	无
2110	2014	河南省善爱公益基金会	He'nan Shan‘ai Welfare Foundation	豫民基证字第0086-F号	065292841	资助公共卫生事业，提升国民生活质量	为孤残儿童、弱势群体、福利机构提供医疗资助	非公募	2013年04月09日	200万元	省级民政部门	河南省民政厅	河南省郑州市金水区金水区花园路国基路居易国际1号楼1219室	450000	宋致亿	宋洪军	宋洪军	理事长	0371-65772501	0371-65772501	cloudecg@sina.com		0.0	0.0	0.0	3.0	1.0	未参评	无
2111	2014	河南省善福缘老龄基金会	He'nan Shanfuyuan Ageing Development Foundation	豫民基证字第0075-F号	054704986	以“尊重生命，守护生命”为宗旨，为老人提供身心健康全方位的关照，营造一个具有东方文化特色的养老典范，让老年人幸福安康。	依法接受社会捐赠，开展敬老助老等活动。	非公募	2012年09月10日	200万元	省级民政部门	河南省民政厅	河南省郑州市荥阳市中原区阳光花苑9号楼东户	450000	李洪玲	王凯	欧阳红	会计	0371-55686720	0371-55686720	honglingli-2008@126.com	http://www.shanfuyuan.org/WebSite/Index.aspx	0.0	0.0	0.0	2.0	0.0	未参评	无
2112	2014	河南省大河文化发展基金会	Henan Dahe Cultural Development Foundation	豫民基证字第0101-F	084837405	开展文化公益活动，扶持中原文化事业。	依法接受捐赠，开展各项文化公益事业。	非公募	2013年12月10日	200万元	省级民政部门	河南省文化厅	河南省郑州市金水区郑东新区CBD商务外环19号农信大厦17层	450000	郭晶	王守智	胡庆生	综合部部长	0371-60515555	0371-60515555	1622630257@qq.com		0.0	0.0	0.0	3.0	0.0	未参评	无
2113	2014	河南省大爱文化艺术发展基金会	Henan Daai Cultural and Art Development Foundation	豫民基证字第0092-F号	07681834-3	汇聚各界爱心，传承中华文化，促进文化交流。	依法接受捐赠，开展文化艺术公益活动。	非公募	2013年08月28日	200万元	省级民政部门	河南省文化厅	河南省郑州市中原区百花路37号	450003	许捷义	王燕	董新伟	内勤	0371-56786016	0371-56786016	daaijijinhui@163.com	http://www.daaijijinhui.com/	0.0	0.0	0.0	2.0	0.0	未参评	无
2114	2014	河南省天慈公益基金会	He'nan Tianci Public Service Foundation	豫民基证字第0037-F号	68970438-1	弘扬爱心意识，支持公益事业，促进社会和谐与发展	安老、助孤、助学扶贫项目及公益文化传播与交流等慈善事业	非公募	2009年05月20日	200万元	省级民政部门	河南省民政厅	河南省郑州市金水区众旺路与正光北街交叉口天明国际广场C座15楼	450000	张欣	张冉	杜建强	职员	0371-89997202	0371-89997215	tiancigongyi@163.com		0.0	0.0	0.0	3.0	0.0	未参评	公益性捐赠税前扣除资格
2115	2014	河南省宋庆龄基金会	He'nan Soong Ching Ling Foundation	豫民基证字第0529-001-G号	51455882-9	以继承和发扬宋庆龄毕生所致力的儿童文教、科技、福利事业，促进少年儿童身心健康发展；增进国际友好往来，维护世界和平；实现祖国统一为宗旨。	继承宋庆龄遗志、募集发展资金、资助儿童文教、科技和福利事业。	公募	1992年12月31日	400万元	省级民政部门	河南省委统战部	河南省郑州市金水区郑东新区九如东路22-1号	450018	林彬	孙泉砀	王川	宣传活动部部长	0371-87771110	0371-65676377	henansjh@163.com	http://www.henansclf.org/	0.0	0.0	9.0	37.0	0.0	未参评	公益性捐赠税前扣除资格
2116	2014	河南省宋河老子国学教育基金会	He'nan Songhe Laozi Education Foundation for Chinese Ancient Civiliazition	豫民基证字第0051-F号	55960485-X	传承中华文脉，弘扬中华文明，资助教育，回报社会。	依法接受社会捐赠，开展将教助学活动	非公募	2010年07月22日	200万元	省级民政部门	河南省教育厅	河南省郑州市管城回族区郑东新区CBD商务外环3号中华保险大厦10楼	450000	刘本在	李学斌	史键	基金管理部部长	0371-86603206	0371-86603200	songheef@126.com		0.0	0.0	0.0	4.0	10.0	未参评	公益性捐赠税前扣除资格
2117	2014	河南省宝桥助学基金会	He'nan Baoqiao Education Supporting Foundation	豫民基证字第0017-F号	79570645-2	积极开展贫困学生资助活动，为促进河南省教育事业发展服务。	依法接受捐赠，资助贫困学生。	非公募	2006年11月06日	300万元	省级民政部门	河南省教育厅	河南省郑州市管城回族区政三街五号	450003	齐天昌	牛学忠	张文贵	理事	0371-60222594-802	0371-60222590	baoqiaoeaf.cn@sohu.com		0.0	0.0	0.0	0.0	7.0	未参评	无
2118	2014	河南省崇文教育基金会	Henan Chongwen Education Foundation	豫民基证字第0099-F号	080845184	促进教育事业发展，办人民满意教育。	依法接受社会捐赠，开展奖教助学活动。	非公募	2013年10月25日	200万元	省级民政部门	河南省教育厅	河南省郑州市管城回族区花园路12号融元广场A座10楼27号	450000	魏春明	张允强	李晓鹏	会计	0371-60922239	0371-65393518	peng_891002@163.com	http://www.chongwenjy.com/	0.0	0.0	0.0	7.0	8.0	未参评	无
2119	2014	河南省嵩岳爱心基金会	He'nan Songyue Charity Foundation	豫民基证字第0068-F号	589710215	遵守《基金会管理条例》，以扶贫济困、救孤助残等为主，为社会公益事业做贡献。	扶贫济困、赈灾助残，帮助困境中的儿童解决生活、教育、医疗等方面的困难。	非公募	2012年01月13日	235万元	省级民政部门	河南省民政厅	河南省郑州市管城回族区高新开发区桂花西街5号6幢1层附37号	450000	贾进芳	王群超	朱鑫鑫	财务	0371-67996912	0371-67996913	384411246@qq.com		0.0	0.0	0.0	2.0	3.0	未参评	无
2120	2014	河南省常香玉基金会	Henan Changshungyu Foundation	豫民基证字第0029-G号	679482615	继承和发扬人民艺术家、著名豫剧大师常香玉热爱祖国、热爱人民、热爱社会主义的高尚品质和“戏比天大”勤奋执着、刻苦创新、毕生献身人民艺术事业的宝贵精神，广泛联络社会各界以及国内外团体和个人，募集资金，发展现代戏剧艺术及其教育事业，为推动我省文化强省建设，促进经济持续发展与社会和谐进步作出积极贡献。	依法募集资金，开展各类社会慈善活动。	公募	2008年09月03日	400万元	省级民政部门	河南省文化厅	河南省郑州市金水区郑东新区商务外环路8号世博大厦8楼	450003	朱一染	常如玉	朱一染	秘书长	0371-69191532	0371-86600088	changjihui@yaho.com								公益性捐赠税前扣除资格
2121	2014	河南省平煤医疗风险救助基金会	He'nan Pingmei Medical Aid Foundation	豫民基证字第0043-F号	55160268-1	遵守国家宪法、法律、法规和政策，遵守社会道德风尚，加强医疗风险的预防和控制，有效减轻医疗机构的负担和压力，激励医务人员开展新技术、新业务，提高诊疗技术水平和医疗服务质量，促进医疗卫生事业的发展。	依法接受社会捐赠开展医患双方救助活动	非公募	2010年01月25日	200万元	省级民政部门	河南省工业和信息化厅	河南省平顶山市新华区矿工路中段南1号院	467000	张卫国	任文杰	仝伟	业务主管	0375-2799072	0375-2799072	79691333@qq.com	http://xn--rtty93e.com/index.aspx	0.0	0.0	0.0	3.0	0.0	未参评	公益性捐赠税前扣除资格
2122	2014	河南省康泰扶贫助困基金会	He'nan Kangtai Foundation for Poverty Alleviation	豫民基证字第0052-F号	559632295	遵守中华人民共和国宪法、法律、法规、规章和国家政策，遵守社会道德风尚，致力于弘扬中华民族扶贫济困的传统美德，帮助社会上不幸的个人和困难群体开展多种形式的社会救助工作，最大程度的实现脱贫致富和持续发展。	助孤、养老、资助孤寡老人；扶持贫困地区和家庭，改善生产和生活条件；对遭受自然灾害的地区进行紧急救援，减轻灾民的疾苦，实施灾后重建。	非公募	2010年07月28日	200万元	省级民政部门	河南省民政厅	河南省郑州市金水区建业路90号院5号楼1单元11A	450008	李勇	徐秀珍	霍晓华	会计	0371-66535189	0371-66535189	missah@126.com		0.0	0.0	0.0	2.0	0.0	未参评	公益性捐赠税前扣除资格
2123	2014	河南省张海书法发展基金会	He'nan Zhanghai Calligraphy Development Foundation	豫民基证字第0044-F号	55160384-4	遵守中华人民共和国宪法、国务院《基金会管理条例》等法律、法规；根据国家文艺政策开展活动，表彰和奖励书法创作（篆刻、理论）成就卓著者、书法创作活动有特殊贡献者，积极开展青少年书法教育，扶植培养书法新人，促进河南书法事业进一步繁荣和发展，为推动书法大省向书法强省跨越创造条件。	依法接受社会捐赠，开展奖励成就突出的书法作者、扶持培养书法新人活动。	非公募	2010年01月25日	400万元	省级民政部门	河南省文联	河南省郑州市金水区经七路34号319室	450003	杜艳	张海	杜艳	理事	0371-63939730	0371-63925842	wlrsc@126.com		0.0	0.0	0.0	0.0	13.0	未参评	无
