机构ID	机构名称	数据年度	捐赠收入_限定	会费收入_限定	提供服务收入_限定	政府购买服务收入_限定	商品销售收入_限定	政府补助收入_限定	投资收益_限定	其他收入_限定	收入合计_限定	业务活动成本_限定	管理费用_限定	筹资费用_限定	其他费用_限定	费用合计_限定	限定性净资产转为非限定性净资产_限定	调整净资产_限定	净资产变动额（若为净资产减少额，以“-”号填列）_限定	捐赠收入_非限定	会费收入_非限定	提供服务收入_非限定	政府购买服务收入_非限定	商品销售收入_非限定	政府补助收入_非限定	投资收益_非限定	其他收入_非限定	收入合计_非限定	业务活动成本_非限定	管理费用_非限定	筹资费用_非限定	其他费用_非限定	费用合计_非限定	限定性净资产转为非限定性净资产_非限定	调整净资产_非限定	净资产变动额（若为净资产减少额，以“-”号填列）_非限定
1547	广东省美丽关爱慈善基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	215,000.00	0.00	0.00	0.00	0.00	0.00	0.00	8,361.22	223,361.22	200,000.00	10,400.00	0.00	0.00	210,400.00	0.00		12,961.22
1548	广东省老区建设基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	229,412.06	171,269.93	400,681.99	2,261,126.75	201,343.37	0.00	0.00	2,462,470.12	0.00		-2,061,788.13
1549	广东省老年基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	1,853,300.00	0.00	0.00	0.00	0.00	354,500.00	0.00	4,269.29	2,212,069.29	1,635,441.65	574,565.17	2,857.00	0.00	2,212,863.82	0.00		-794.53
1550	广东省肇庆学院教育发展基金会	2014	4,986.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4,986.40	0.00	0.00	0.00	0.00	0.00	0.00		4,986.40	939,432.82	0.00	0.00	0.00	0.00	0.00	0.00	416,862.91	1,356,295.73	851,552.00	32,632.75	0.00	0.00	884,184.75	0.00		472,110.98
1551	广东省茂华慈善基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	830,800.00	0.00	0.00	0.00	0.00	0.00	300,000.00	6,765.67	1,137,565.67	2,128,940.00	120,387.72	656.04	0.00	2,249,983.76	0.00		-1,112,418.09
1552	广东省蓝态幸福文化公益基金会	2014	1,698,777.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1,698,777.00	1,361,812.47	-131.78	0.00	0.00	1,361,680.69	0.00		337,096.31	3,003,230.82	0.00	42,640.00	0.00	0.00	0.00	94,400.96	6,387.61	3,146,659.39	1,879,993.50	107,167.92	25,039.85	39,846.02	2,052,047.29	0.00		1,094,612.10
1553	广东省见义勇为基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	2,184,943.51	35,360.98	2,220,304.49	4,247,767.62	351,966.22	0.00	0.00	4,599,733.84	0.00		-2,379,429.35
1555	广东省豪爵慈善基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	20,000,000.00	0.00	0.00	0.00	0.00	0.00	0.00	259,150.34	20,259,150.34	13,280,000.00	5,014.00	0.00	0.00	13,285,014.00	0.00		6,974,136.34
1556	广东省远大慈善基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	750,000.00	0.00	0.00	0.00	0.00	0.00	0.00	107.16	750,107.16	930,000.00	86,884.00	0.00	0.00	1,016,884.00	0.00		-266,776.84
1558	广东省金匙救助基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	7,733,850.00	0.00	0.00	0.00	0.00	0.00	0.00	7,728.39	7,741,578.39	3,643,350.00	17,280.00	558.50	0.00	3,661,188.50	0.00		4,080,389.89
1561	广东省陆叶慈善基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	145,972.10	0.00	0.00	0.00	0.00	0.00	0.00	10,654.27	156,626.37	447,391.02	49,357.58	0.00	0.00	496,748.60	0.00		-340,122.23
1562	广东省陈德良慈善基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	36,300.00	0.00	0.00	0.00	0.00	0.00	47,793.15	0.00	84,093.15	362,075.80	7,333.00	0.00	667.00	370,075.80	0.00		-285,982.65
1564	广东省雁洋公益基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	36,955,485.00	0.00	0.00	0.00	0.00	0.00	0.00	11,554,054.53	48,509,539.53	12,731,442.00	65,402.20	0.00	0.00	12,796,844.20	0.00		35,712,695.33
1566	广东省青少年发展基金会	2014	34,223,104.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34,223,104.97	0.00	0.00	0.00	0.00	0.00	-39,169,115.44		-4,946,010.47	452,427.73	0.00	0.00	0.00	0.00	0.00	0.00	4,278,916.78	4,731,344.51	39,123,807.15	436,356.38	214,965.05	0.00	39,775,128.58	39,169,115.44		4,125,331.37
1569	广东省顺丰慈善基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	4,320,340.60	0.00	0.00	0.00	0.00	0.00	0.00	8,749.41	4,329,090.01	5,829,904.53	39,584.40	0.00	4,187.64	5,873,676.57	0.00		-154,458,656.00
1570	广东省顺商公益基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	38,000.00	0.00	0.00	0.00	0.00	0.00	0.00	3,323.81	41,323.81	728,000.00	25,890.00	0.00	0.00	753,890.00	0.00		-712,566.19
1571	广东省顺德职业技术学院教育发展基金会	2014	1,666,053.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1,666,053.74	706,825.75	0.00	0.00	0.00	706,825.75	0.00		959,227.99	13,000.00	0.00	0.00	0.00	0.00	0.00	0.00	12,074.43	25,074.43	54,147.47	36,836.31	0.00	0.00	90,983.78	0.00		-65,909.35
1572	广东省颐养健康科学基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7,332.38	7,332.38	200,000.00	2,925.00	0.00	0.00	202,925.00	0.00		-195,592.62
1574	广东省鸿光心脏医疗救助基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5,667.09	5,667.09	495,138.55	5,449.50	0.00	0.00	500,588.05	0.00		-494,920.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00
1575	广东省鸿发慈善基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	2,200,200.00	0.00	0.00	0.00	0.00	0.00	0.00	1,626.07	2,201,826.07	1,700,200.00	504,779.05	0.00	0.00	2,204,979.05	0.00		-3,152.98
1577	广东省麦田教育基金会	2014	8,501,918.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8,501,918.75	8,952,114.24	0.00	0.00	0.00	8,952,114.24	1,498,271.56		1,048,076.07	219,822.96	0.00	0.00	0.00	0.00	0.00	0.00	10,779.92	230,602.88	0.00	228,637.65	0.00	0.00	228,637.65	-1,498,271.56		-1,496,306.33
1578	广东省龙光慈善基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	301.34	0.00	301.34	0.00		-301.34
1579	广元市教育基金会	2014	2,805,438.00	0.00	0.00	0.00	0.00	0.00	0.00	148,875.38	2,954,313.38	2,844,100.00	65,511.00	0.00	1,876.50	2,911,487.50	0.00		43,845.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00
1580	广宁县教育基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	5,626,100.00	0.00	0.00	0.00	0.00	0.00	0.00	2,631.29	5,628,731.29	5,415,239.80	4,300.00	0.00	787.50	5,420,327.30	0.00		208,403.99
1583	广州市交通建设管理基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2,735,814.91	2,735,814.91	13,114,020.30	437,324.64	0.00	0.00	13,551,344.94	0.00		-10,815,530.03
1584	广州市人口福利基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	55,125.00	0.00	0.00	0.00	0.00	0.00	0.00	17,967.28	73,092.28	129,727.52	184,453.00	1,196.00	12,269.87	327,646.39	0.00		-254,554.11
1587	广州市促进文化艺术发展繁荣基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	434,332.67	434,332.67	800,000.00	264,874.96	0.00	0.00	1,064,874.96	0.00		-630,542.29
1588	广州市公安民警基金会	2014	10,772,120.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10,772,120.00	15,410,557.28	0.00	0.00	0.00	15,410,557.28	0.00		-4,638,437.28	39,191,864.00	0.00	0.00	0.00	0.00	0.00	3,193,177.77	144,582.85	42,529,624.62	7,901,741.39	180,406.81	0.00	39,413.87	8,121,562.07	0.00		34,408,062.55
1590	广州市南山自然科学学术交流基金会	2014	130,900.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	130,900.00	0.00	0.00	0.00	0.00	0.00	0.00		130,900.00	236,130.00	0.00	0.00	0.00	0.00	0.00	0.00	688,818.10	924,948.10	1,717,232.80	154,093.06	0.00	0.00	1,871,325.86	0.00		-946,377.76
1592	广州市合力科普基金会	2014	736,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	736,000.00	0.00	0.00	0.00	0.00	0.00	-130,000.00		606,000.00	1,000.00	0.00	0.00	0.00	0.00	0.00	0.00	275,719.76	276,719.76	795,576.86	74,632.20	0.00	0.00	870,209.06	130,000.00		-463,489.30
1594	广州市平恩慈善基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	425,782.60	0.00	0.00	0.00	0.00	0.00	0.00	3,387.71	429,170.31	316,941.00	57,106.00	-3,365.71	0.00	370,681.29	0.00		58,489.02
1597	广州市教育基金会	2014	1,863,297.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1,863,297.60	0.00	0.00	0.00	0.00	0.00	0.00		1,863,297.60	1,283,736.20	0.00	0.00	0.00	0.00	0.00	0.00	3,343,160.59	4,626,896.79	3,107,525.56	264,348.01	82,505.40	195,521.45	3,649,900.42	0.00		976,996.37
1598	广州市新塘群众文化基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	5,000.00	0.00	0.00	0.00	0.00	0.00	0.00	2,721.12	7,721.12	50,000.00	64,850.17	0.00	0.00	114,850.17	0.00		-107,129.05
1599	广州市时代地产公益基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	22,155,582.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	22,155,582.02	20,364,360.62	540,711.55	-19,748.02	0.00	20,885,324.15	0.00		1,270,257.87
1600	广州市春雨助学基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	634,722.22	1,619.26	636,341.48	486,416.00	45,861.80	586.30	23,869.35	556,733.45	0.00		79,608.03
1601	广州市残疾人福利基金会	2014	431,707.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	431,707.74	430,914.74	0.00	0.00	0.00	430,914.74	0.00		793.00	2,619,035.70	0.00	0.00	0.00	0.00	0.00	0.00	75,254.48	2,694,290.18	28,670,543.30	230,861.41	0.00	-14,472.31	28,886,932.40	0.00		-389,153.22
1603	广州市番禺区教育基金会	2014	3,020,037.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3,020,037.49	0.00	0.00	0.00	0.00	0.00	-588,100.00		2,431,937.49	54,600.00	0.00	0.00	0.00	0.00	0.00	0.00	530,509.49	585,109.49	7,758,346.20	220,534.12	0.00	0.00	7,978,880.32	588,100.00		-6,805,670.83
1604	广州市番禺区科学技术进步基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	178,906.71	178,906.71	60,000.00	109,272.45	0.00	0.00	169,272.45	0.00		9,634.26
1607	广州市石溪劬劳福利基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	534,665.77	0.00	0.00	0.00	0.00	0.00	0.00	14,075.81	548,741.58	460,202.33	30,030.00	0.00	0.00	490,232.33	0.00		58,509.25
1608	广州市禁毒基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	205,791.77	205,791.77	1,015,845.38	320,340.66	0.00	0.00	1,336,186.04	0.00		-1,130,394.27
1611	广州市老龄事业发展基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	420,000.00	0.00	0.00	0.00	0.00	0.00	0.00	86,527.26	506,527.26	356,890.00	65,469.80	118,521.64	0.00	540,881.44	0.00		-34,354.18
1612	广州市职工济难基金会	2014	200,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	200,000.00	649,400.00	0.00	0.00	0.00	649,400.00	0.00		-449,400.00	1,186,502.70	0.00	27,577,505.00	0.00	0.00	0.00	0.00	3,960,808.64	32,724,816.34	27,430,229.01	866,876.25	0.00	0.00	28,297,105.26	0.00		4,427,711.08
1613	广州市花都区教育基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	421,382.00	0.00	0.00	0.00	0.00	2,000,000.00	0.00	1,058,365.21	3,479,747.21	3,622,512.00	99,793.86	0.00	0.00	3,722,305.86	0.00		-242,558.65
1614	广州市见义勇为基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	620,000.00	0.00	0.00	0.00	620,000.00	0.00		-620,000.00	7,250.00	0.00	0.00	0.00	0.00	0.00	983,113.31	49,747.59	1,040,110.90	3,469,153.28	402,300.50	0.00	0.00	3,871,453.78	0.00		-2,831,342.88
1615	广州市青少年发展基金会	2014	26,485,733.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	26,485,733.10	17,363,425.54	0.00	0.00	0.00	17,363,425.54	0.00		9,122,307.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	155,300.66	155,300.66	0.00	934,221.05	6,257.59	0.00	940,478.64	0.00		-785,177.98
1616	广西医学教育与科学研究发展基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	6,820,000.00	0.00	0.00	0.00	0.00	0.00	0.00	79,310.31	6,899,310.31	502,478.42	20,466.85	0.00	0.00	522,945.27	0.00		206,212.97
1617	广西华侨爱心基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	5,942,238.00	0.00	0.00	0.00	0.00	0.00	2,303,400.00	866.52	8,246,504.52	4,314,103.50	284,595.73	0.00	447.75	4,599,146.98	0.00		3,647,357.54
1618	广西华鼎教育基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	172,178.46	172,178.46	180,000.00	0.00	0.00	13,104.00	193,104.00	0.00		-20,925.54
1619	广西协力扶助基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	5,950,528.27	0.00	0.00	0.00	0.00	0.00	0.00	145,107.43	6,095,635.70	6,845,759.50	81,080.88	0.00	0.00	6,926,840.38	0.00		-831,204.68
1620	广西可高基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	490,347.48	4,975.46	0.00	0.00	495,322.94	0.00		-495,322.94
1621	广西吕贻标爱心基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	1,024,284.00	0.00	0.00	0.00	0.00	0.00	1,100,000.00	0.00	2,124,284.00	1,922,509.50	187,693.32	-401.31	-31,157.64	2,078,643.87	0.00		45,640.13
1622	广西启明扶助基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	555,987.13	555,987.13	430,553.60	46,253.57	0.00	0.00	476,807.17	0.00		79,179.96
1623	广西和正慈善基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.00	20.00	0.00		-235,905.30	335,687.99	0.00	0.00	0.00	0.00	0.00	0.00	2,152.78	337,840.77	563,558.37	10,167.70	0.00		573,726.07	0.00		0.00
1624	广西国海扶贫助学基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	328,142.70	0.00	0.00	0.00	0.00	0.00	10,551.73	694.34	339,388.77	445,765.00	-115,855.43	0.00	395.00	330,304.57	0.00		9,084.20
1625	广西壮族自治区扶贫基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	1,834,178.50	0.00	0.00	0.00	0.00	200,000.00	0.00	2,054.23	2,036,232.73	1,322,354.04	140,800.00	0.00	33,196.01	1,496,350.05	0.00		539,882.68
1626	广西壹方慈善基金会	2014	1,337,616.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1,337,616.40	882,150.50	0.00	0.00	0.00	882,150.50	0.00		455,465.90	663,550.90	0.00	0.00	0.00	0.00	0.00	0.00	56,462.95	720,013.85	1,352,423.80	231,361.10	5,961.46	0.00	1,589,746.36	0.00		-869,732.51
1627	广西妇女儿童发展基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	12,368,169.90	0.00	0.00	0.00	0.00	0.00	0.00	217,886.59	12,586,056.49	11,524,696.60	104,653.31	0.00	0.00	11,629,349.91	0.00		956,706.58
1628	广西师范大学教育发展基金会	2014	3,082,987.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3,082,987.05	2,643,860.39	0.00	0.00	0.00	2,643,860.39	0.00		439,126.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	863,335.04	863,335.04	0.00	-713,282.37	0.00	455.50	-712,826.87	0.00		1,576,161.91
1629	广西帮帮忙教育扶贫基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	817,459.00	0.00	0.00	0.00	0.00	0.00	0.00	1,428.69	818,887.69	895,267.50	78,005.53	0.00	0.00	973,273.03	0.00		-154,385.34
1631	广西拥军优属基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	118,969.04	0.00	0.00	0.00	0.00	0.00	0.00	894.30	119,863.34	119,570.00	9,551.55	0.00	0.00	129,121.55	0.00		-9,258.21
1632	广西李宁基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	1,197,522.90	0.00	0.00	0.00	0.00	0.00	0.00	1,579.98	1,199,102.88	1,419,353.00	541,084.82	0.00	0.00	1,960,437.82	0.00		-761,334.94
1633	广西桂嘉汇青少年儿童救助基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	661,000.00	8,000.00	-25,425.24	25.00	643,599.76	0.00		643,599.76
1634	广西残疾人福利基金会	2014	5,094,433.20	0.00	0.00	0.00	0.00	0.00	0.00	343,000.00	5,437,433.20	1,525,568.82	0.00	0.00	0.00	1,525,568.82	0.00		3,911,864.38	1,160,671.93	0.00	0.00	0.00	0.00	200,000.00	0.00	72,967.03	1,433,638.96	1,587,132.00	103,799.71	0.00	0.00	1,690,931.71	0.00		-257,292.75
1635	广西民族大学教育基金会	2014	14,924,325.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	14,924,325.00	14,916,855.00	0.00	0.00	0.00	14,916,855.00	0.00		7,470.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	276,079.17	276,079.17	0.00	12,112.20	0.00	0.00	12,112.20	0.00		263,966.97
1636	广西民族教育发展基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	10,694,206.30	0.00	0.00	0.00	0.00	0.00	5,622,522.95	0.00	16,316,729.25	15,738,532.06	372,097.07	0.00	0.00	16,110,629.13	0.00		0.00
1637	广西社会和谐稳定发展基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	3,008,100.00	0.00	0.00	0.00	0.00	1,000,000.00	324,795.35	9,646.17	4,342,541.52	4,475,002.85	493,198.76	0.00	0.00	4,968,201.61	0.00		-625,660.09
1638	广西红十字基金会	2014	9,809,759.42	0.00	0.00	0.00	0.00	550,000.00	0.00	0.00	10,359,759.42	11,887,379.40	0.00	0.00	0.00	11,887,379.40	0.00		-1,527,619.98	300,000.00	0.00	2,272,680.00	0.00	0.00	0.00	0.00	463,821.82	3,036,501.82	1,455,646.96	1,015,674.46	3,651.00	0.00	2,474,972.42	0.00		561,529.40
1639	广西老年基金会	2014	0.00	0.00	0.00	0.00	0.00	300,000.00	0.00	0.00	300,000.00	0.00	0.00	0.00	0.00	0.00	0.00		300,000.00	6,100.00	0.00	0.00	0.00	0.00	800,000.00	0.00	65,499.00	871,599.00	987,468.60	95,733.13	-15,037.84	0.00	1,068,163.89	0.00		-196,564.89
1640	广西荣和爱心基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	18,895.63	18,895.63	912,000.00	2,000.00	100.00	0.00	914,100.00	0.00		-895,204.37
1641	广西见义勇为基金会	2014	820,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	820,000.00	0.00	0.00	0.00	0.00	0.00	0.00		820,000.00	2,646,480.00	0.00	0.00	0.00	0.00	3,000,000.00	0.00	462,574.61	6,109,054.61	6,432,805.80	290,501.86	0.00	0.00	6,723,307.66	0.00		-614,253.05
1642	广西青少年发展基金会	2014	34,276,664.99	0.00	0.00	0.00	0.00	300,000.00	0.00	0.00	34,576,664.99	25,166,791.25	0.00	0.00	0.00	25,166,791.25	0.00		9,409,873.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2,482,489.33	2,482,489.33	0.00	594,076.18	310,332.63	0.00	904,408.81	0.00		1,578,080.52
1643	广西革命老区建设基金会	2014	400,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	400,000.00	400,000.00	0.00	0.00	0.00	400,000.00	0.00		0.00	1,670,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1,670,000.00	900,000.00	151,034.27	-5,363.66	718.00	1,046,388.61	0.00		623,611,390.00
1644	庄希泉基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	20,000.00	0.00	0.00	0.00	0.00	0.00	0.00	59,419.41	79,419.41	508,264.51	50,271.11	0.00	0.00	558,535.62	0.00		-479,116.21
1645	延吉市人民教育基金会	2014	1,015,200.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1,015,200.00	1,015,200.00	0.00	0.00	0.00	1,015,200.00	0.00		0.00	56,000.00	0.00	0.00	0.00	0.00	0.00	3,500.00	2,792.00	62,292.00	87,000.00	15,069.00	0.00	0.00	102,069.00	0.00		39,776.00
1649	延边大学教育基金会	2014	2,688,974.69	0.00	0.00	0.00	0.00	500,000.00	0.00	0.00	3,188,974.69	6,121,916.97	0.00	0.00	0.00	6,121,916.97	-2,644,279.83		-5,577,222.11	8,446,834.40	0.00	0.00	0.00	0.00	0.00	1,000,000.00	201,865.00	9,648,699.40	5,691,438.30	568,632.36	0.00	0.00	6,260,070.66	2,644,279.83		6,032,908.57
1651	建德市老龄事业发展基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	540,000.00	0.00	0.00	0.00	0.00	0.00	0.00	484,365.91	1,024,365.91	901,131.00	61,850.13	0.00	45.00	963,026.13	0.00		61,339.78
1652	建德市见义勇为基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	40,000.00	0.00	0.00	0.00	0.00	0.00	0.00	1,343,864.78	1,383,864.78	227,896.50	21,490.81	0.00	0.00	249,387.31	0.00		1,134,477.47
1653	建湖县教育基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	270,000.00	0.00	0.00	0.00	0.00	0.00	840,000.00	1,037.13	1,111,037.13	843,000.00	6,000.00	0.00	644.90	849,644.90	0.00		261,392.23
1654	建湖县见义勇为基金会	2014	500,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	500,000.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	300,000.00	2,360.16	302,360.16	176,500.00	14,572.56	0.00	0.00	191,072.56	0.00		111,287.60
